id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,Estado,url
58,E2,615000,615000,34209.35,2024-09-18,VENTA DE CASA EN TULANCINGO DE BRAVO COL LA MORENA SECC NORTE B,168,280,3660.71428571429,2196.42857142857,2024-03-04,36.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-608e464268fa-eb0b-d1432091-9552-4781
59,E2,615000,615000,34209.35,2024-09-18,VENTA DE CASA EN TULANCINGO DE BRAVO COL LA MORENA SECC NTE B,168,280,3660.71428571429,2196.42857142857,2024-03-08,32.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-1007c01e5444-2517-41ad4639-ae08-45f6
60,E2,618000,618000,34376.22,2024-09-18,"OPORTUNIDAD INVIERTE EN TU PATRIMONIO, CASA DE RECUPERACION BANCARIA, EN CUMBRES DE MALTRATA.",178,178,3471.91011235955,3471.91011235955,2024-02-23,48.0,1.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-d1d66d395d57-77b1-eb424714-820b-432f
61,E2,618000,618000,34376.22,2024-09-18,"OPORTUNIDAD INVIERTE EN TU PATRIMONIO, CASA DE RECUPERACION BANCARIA, EN CUMBRES DE MALTRATA.",178,178,3471.91011235955,3471.91011235955,2024-02-23,48.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-60708fd19e7d-9998-a31f83b3-8e99-4a51
62,E2,618000,618000,34376.22,2024-09-18,LA CASA DE TUS SUEÃ‘OS,178,178,3471.91011235955,3471.91011235955,2024-01-31,70.0,2.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-5ba6e323a427-e36e-5423bad5-a633-46af
63,E2,618000,618000,34376.22,2024-09-18,CASA DE DOS NIVELES EN VENTA EL LA MORENA NORTE TULANCINGO HIDLAGO MÃ‰XICO.,140,140,4414.28571428571,4414.28571428571,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-8b6e09ee7900-d518-bdca3f75-8de0-496d
64,E2,618000,618000,34376.22,2024-09-18,"CASA 3 RECAMARAS, 2 NIVELES, 2.5 BAÃ‘OS, 2 ESTACIONAMIENTOS",140,140,4414.28571428571,4414.28571428571,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-715386dafdf6-a2aa-f8fed2f9-938e-4bb4
65,E2,618000,618000,34376.22,2024-09-18,"CASA EN VENTA LA MORENA SECC NTE, TULANCINGO, HGO.",140,140,4414.28571428571,4414.28571428571,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-b566d79f6c9d-f244-623eff87-97e9-41dd
66,E2,622000,622000,34598.72,2024-09-18,"Casa en venta Guadalupe 1ra SecciÃ³n, Tulancingo, Hidalgo DD41 GR",230,230,2704.34782608696,2704.34782608696,2023-11-16,145.0,4.0,2024-04-10,Casa,Venta,1,4,3,0,3,no,Francisco I. Madero,Venta,https://www.lamudi.com.mx//detalle/41032-73-cba1ec894a47-74a-382d2619-87dd-4c9b
67,E2,625000,625000,34765.6,2024-09-18,VENTA DE CASA EN TULANCINGO DE BRAVO EN HIDALGO,156,280,4006.41025641026,2232.14285714286,2024-01-18,83.0,2.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-c9db711ba8b9-e613-86cfbc2e-97cc-47fa
68,E2,625000,625000,34765.6,2024-09-18,VENTA DE CASA EN TULANCINGO DE BRAVO HILDAGO DE LA COLONIA LA MORENA,156,280,4006.41025641026,2232.14285714286,2024-01-01,99.0,3.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-fecb761aa60e-fe39-c1e902d5-a969-4211
69,E2,625000,625000,34765.6,2024-09-18,"VENTA DE CASA EN TULANCINGO DE BRAVO, HIDALGO, COLONIA LA MORENA",156,280,4006.41025641026,2232.14285714286,2023-11-13,148.0,4.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-49a72ba8f921-acd1-e2802dd4-a885-405f
70,E2,628000,628000,34932.47,2024-09-18,"CASA EN VENTA , PACHUCA",114,114,5508.77192982456,5508.77192982456,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-244505ce9199-c891-ca01ac12-b877-4920
71,E2,628000,628000,34932.47,2024-09-18,"OPORTUNIDAD INVIERTE EN TU PATRIMONIO, CASA DE RECUPERACION BANCARIA, EN CUMBRES DE MALTRATA.",114,114,5508.77192982456,5508.77192982456,2024-02-23,48.0,1.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-1649ede6aeba-c5bd-3be67b2d-b13c-43cc
72,E2,650000,650000,36156.22,2024-09-18,Bonita e Iluminada casa en Tulancingo Jardines del Sur 3a SecciÃ³n CesiÃ³n Inmediata,266,370,2443.60902255639,1756.75675675676,,,,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-1782bbcbd130-f991-401bca49-8d12-40da
