id,categoria,precio,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,meses_transcurridos,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,url
66,E3,960000,EXCELENTES DEPARTAMENTOS EN VENTA EN PASEOS DE LAS REYNAS,85,85,11294.117647058823,11294.117647058823,12,Condominio Horizontal,Venta,0,2,2,0,2.0,No,Villas del Álamo,0,https://www.lamudi.com.mx//detalle/41032-73-8b15ebe4fddf-dad2-61ceb51-916d-337d
67,E3,950000,"¡Compra Gran Oportunidad! ¡Iluminada Casa Adjudicada!  ¡Cesión Inmediata Ante Notario, Recuperación Bancaria! CS/FJCO",140,140,6785.714285714285,6785.714285714285,5,Casa,Venta,1,3,1,0,1.0,No,El Mirador,0,https://www.lamudi.com.mx//detalle/41032-73-b4c836456869-6b00-52d6e119-9cc6-4bc5
68,E3,950000,VENTA DE CASA ECONÓMICA EN PRIVADA EN TULANCINGO 3 RECAMARAS,90,90,10555.555555555557,10555.555555555557,12,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,Tulancingo de Bravo Centro,0,https://www.lamudi.com.mx//detalle/41032-73-726621aca3cf-3af-888d711b-a8a1-337b
69,E3,945000,Casa en venta Tulancingo Hidalgo,72,66,13125.0,14318.181818181818,12,Casa En Fraccionamiento,Venta,1,2,1,0,1.0,No,Valle Verde,0,https://www.lamudi.com.mx//detalle/41032-73-6756a15193a6-bc40-86d16cf5-862d-3197
70,E3,903000,VICENTE GUERRERO CASA EN VENTA TULANCINGO HIDALGO.,100,95,9030.0,9505.263157894737,4,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Sección,0,https://www.lamudi.com.mx//detalle/41032-73-f949bbd4f426-ae4b-d072548c-8fcc-32a4
71,E3,900000,ES HORA DE REALIZAR TU SUEÑO Y ADQUIRIR ESTA HERMOSA CASA EN TULANCINGO HIDALGO,220,220,4090.909090909091,4090.909090909091,1,Casa,Venta,1,3,1,0,1.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-676e3c4dd0a1-ffc7-52ac93e1-97fa-4e8d
72,E3,895000,"Casa en Venta Col. Lomas del Progreso, Tulancingo, Hidalgo",129,260,6937.984496124031,3442.3076923076924,4,Casa,Venta,1,3,3,0,3.0,No,Lomas de Progreso,0,https://www.lamudi.com.mx//detalle/41032-73-1317b748069a-fb8e-bd5e2fcc-a682-4496
73,E3,868000,Casa en venta Tulancingo Hidalgo,72,61,12055.555555555557,14229.508196721312,12,Casa En Fraccionamiento,Venta,0,2,1,0,1.0,No,Villa Sol,0,https://www.lamudi.com.mx//detalle/41032-73-55eb54793d25-880b-e2df7533-933e-3cf2
74,E3,848000,Casa en venta Tulancingo a 5 minutos de Plaza Patio,72,58,11777.777777777776,14620.689655172411,12,Casa En Fraccionamiento,Venta,0,2,1,0,1.0,No,Villa Sol,0,https://www.lamudi.com.mx//detalle/41032-73-a3dff86c0cda-487c-b98f7f6b-aec2-3bfe
75,E3,841100,"BONITA CASA EN TULANCINGO DE BRAVO ,HGO(COLONIA. VICENTE GUERRERO)",110,110,7646.363636363636,7646.363636363636,1,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Sección,0,https://www.lamudi.com.mx//detalle/41032-73-aca5ad39d8e-43bb-387cb3a3-b3e3-4628
