Occupation,Workforce,Monthly Wage,lastPeriod,diferencia,diferencia_2,Salario_Variables,volumen,pareja,categoria_persona,categoria_pareja
"Cajeros, Taquilleros y Receptores de Apuestas",7959,5548.84,5690.51,-141.67,1.03,5690.51,45290769.09,9673.87,F,F1
"Cobradores, Pagadores y Prestamistas",5000,5092.24,5389.87,-297.63,1.06,5389.87,26949350.0,9162.78,F,F1
Trabajadores en Archivo y Correspondencia,2659,4315.34,10647.14,-6331.8,2.47,10647.14,28310745.259999998,18100.14,F1,E1
Encargados y Trabajadores en Control de Almacén y Bodega,9649,6637.13,5219.76,1417.37,0.79,6637.13,64041667.370000005,11283.12,F,F1
Checadores y Revisores de Transporte,215,5302.33,4631.4,670.93,0.87,5302.33,1140000.95,9013.96,F,F1
Supervisores de Trabajadores que Brindan y Manejan Información,1061,12139.8,0.0,12139.8,0.0,12139.8,12880327.799999999,20637.66,E,D
Recepcionistas y Trabajadores que Brindan Información (De Forma Personal),7069,5140.38,4502.95,637.43,0.88,5140.38,36337346.22,8738.65,F,F1
Trabajadores que Brindan Información por Teléfono (Centro de Llamadas) y Anunciadores,1572,3791.63,10096.97,-6305.34,2.66,10096.97,15872436.84,17164.85,F1,E1
Telefonistas y Telegrafistas,160,6240.0,8066.74,-1826.74,1.29,8066.74,1290678.4,13713.46,F1,E
Trabajadores en Agencias de Viajes,60,0.0,9233.77,-9233.77,0.0,9233.77,554026.2000000001,15697.41,F1,E
"Guías de Turismo en Museos, Casinos, Parques, Cines y otros Centros Recreativos",146,0.0,3333.04,-3333.04,0.0,3333.04,486623.83999999997,5666.17,G,F
Encuestadores,882,13528.12,1096.58,12431.54,0.08,13528.12,11931801.84,22997.8,E,D
Comerciantes en Establecimientos,68975,4943.3,4370.26,573.04,0.88,4943.3,340964117.5,8403.61,G,F1
Encargados y Supervisores de Ventas de Productos y de Servicios Financieros y de Alquiler,3781,7771.06,4560.37,3210.69,0.59,7771.06,29382377.860000003,13210.8,F,E
"Empleados de Ventas, Despachadores y Dependientes en Comercios",97188,2900.67,3955.11,-1054.44,1.36,3955.11,384389230.68,6723.69,G,F
"Anaqueleros, Acomodadores y Seleccionadores de Mercancías y Alimentadores de Máquinas Expendedoras",966,4244.06,2933.1,1310.96,0.69,4244.06,4099761.9600000004,7214.9,G,F
Vendedores por Teléfono,142,3936.62,10810.34,-6873.72,2.75,10810.34,1535068.28,18377.58,F1,E1
Choferes Vendedores,7300,7671.44,3617.52,4053.92,0.47,7671.44,56001512.0,13041.45,F,E
Agentes y Representantes de Ventas y Consignatarios,6069,11386.53,7068.33,4318.2,0.62,11386.53,69104850.57000001,19357.1,F1,E1
Agentes de Seguros y Servicios Financieros (Ejecutivos de Cuenta),2124,6724.39,10253.56,-3529.17,1.52,10253.56,21778561.439999998,17431.05,F1,E1
Agentes de Bienes Raíces,941,7068.01,8806.08,-1738.07,1.25,8806.08,8286521.28,14970.34,F1,E
Vendedores por Catálogo,9226,1651.7,2515.73,-864.03,1.52,2515.73,23210124.98,4276.74,G,G
Demostradores y Promotores,1892,7497.67,3846.74,3650.93,0.51,7497.67,14185591.64,12746.04,F,E
Edecanes,41,14190.0,0.0,14190.0,0.0,14190.0,581790.0,24123.0,E,D
"Trabajadores en el Alquiler de Bienes Muebles (Loza, Películas, Video Juegos, Etcétera)",2620,6859.98,6646.17,213.81,0.97,6859.98,17973147.599999998,11661.97,F,F1
"Supervisores en la Preparación y Servicio de Alimentos y Bebidas, Así como en Servicios de Esparcimiento y de Hotelería",1640,5875.66,9163.71,-3288.05,1.56,9163.71,15028484.399999999,15578.31,F1,E
Cocineros,10647,5763.5,4925.51,837.99,0.85,5763.5,61363984.5,9797.95,F,F1
"Fonderos, Vendedores y Comerciantes de Comida",15056,6841.91,7353.01,-511.1,1.07,7353.01,110706918.56,12500.12,F,E
Cocineros Domésticos,162,4837.5,5030.11,-192.61,1.04,5030.11,814877.82,8551.19,F,F1
"Taqueros y Preparadores de Comida Rápida, Antojitos, Pizzas, Hot Dogs, Jugos, Café, Etcétera",35072,4605.2,5511.58,-906.38,1.2,5511.58,193302133.76,9369.69,F,F1
Cantineros,1462,7496.32,3804.36,3691.96,0.51,7496.32,10959619.84,12743.74,F,E
Meseros,10655,2717.21,4284.24,-1567.03,1.58,4284.24,45648577.199999996,7283.21,G,F
Supervisores y Encargados de Trabajadores en Cuidados Personales y del Hogar,805,347.2,0.0,347.2,0.0,347.2,279496.0,590.24,G,G
"Peluqueros, Barberos, Estilistas y Peinadores",6871,4427.86,5432.9,-1005.04,1.23,5432.9,37329455.9,9235.93,F,F1
"Maquillistas, Manicuristas, Pedicuristas y Tatuadores",6166,4291.28,5249.09,-957.81,1.22,5249.09,32365888.94,8923.45,F,F1
"Cuidadores de Niños, Personas con Discapacidad y Ancianos en Establecimientos",133,0.0,1335.89,-1335.89,0.0,1335.89,177673.37000000002,2271.01,G,G
"Cuidadores de Niños, Personas con Discapacidad y Ancianos en Casas Particulares",3724,4895.9,4744.33,151.57,0.97,4895.9,18232331.599999998,8323.03,G,F1
Azafatas y Sobrecargos,327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jardineros en Establecimientos,675,1952.59,8600.0,-6647.41,4.4,8600.0,5805000.0,14620.0,F1,E
Jardineros en Casas Particulares,1125,4166.56,6638.22,-2471.66,1.59,6638.22,7467997.5,11284.97,F,F1
"Astrólogos, Adivinadores y Afines",234,22500.0,0.0,22500.0,0.0,22500.0,5265000.0,38250.0,D,C1
Trabajadores Dedicados a la Prostitución,403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Entrenadores de Animales y Ocupaciones Relacionadas con el Cuidado de Mascotas,1006,4371.81,1577.98,2793.83,0.36,4371.81,4398040.86,7432.08,G,F
Supervisores en Servicios de Protección y Vigilancia,592,0.0,5600.0,-5600.0,0.0,5600.0,3315200.0,9520.0,F,F1
Policías y Agentes de Tránsito,7577,6046.32,6954.24,-907.92,1.15,6954.24,52692276.48,11822.21,F,F1
Vigilantes y Guardias en Establecimientos,18346,5304.9,5810.07,-505.17,1.1,5810.07,106591544.22,9877.12,F,F1
Vigilantes y Porteros en Casas Particulares,58,12900.0,1352.08,11547.92,0.1,12900.0,748200.0,21930.0,E,D
Supervisores de las Fuerzas Armadas,47,0.0,30000.0,-30000.0,0.0,30000.0,1410000.0,51000.0,C,A
Trabajadores de la Fuerza Armada Aérea,52,30000.0,16000.0,14000.0,0.53,30000.0,1560000.0,51000.0,C,A
Trabajadores de la Fuerza Armada Terrestre,382,11057.59,0.0,11057.59,0.0,11057.59,4223999.38,18797.9,F1,E1
Trabajadores en el Cultivo de Maíz Y/O Frijol,49186,2306.88,1506.28,800.6,0.65,2306.88,113466199.68,3921.7,G,G
Trabajadores en el Cultivo de Hortalizas y Verduras,6007,3640.53,5276.61,-1636.08,1.45,5276.61,31696596.27,8970.24,F,F1
"Trabajadores en el Cultivo de Café, Cacao y Tabaco",477,1667.0,0.0,1667.0,0.0,1667.0,795159.0,2833.9,G,G
Trabajadores en el Cultivo de Frutales,1761,3995.74,5412.58,-1416.84,1.35,5412.58,9531553.379999999,9201.39,F,F1
Trabajadores en el Cultivo de Flores,604,0.0,8279.33,-8279.33,0.0,8279.33,5000715.32,14074.86,F1,E
Trabajadores en otros Cultivos Agrícolas,10506,3348.98,2295.34,1053.64,0.69,3348.98,35184383.88,5693.27,G,F
Trabajadores en la Cría de Ganado Bovino,10307,3987.66,3571.03,416.63,0.9,3987.66,41100811.62,6779.02,G,F
Trabajadores en la Cría de Porcinos,3144,875.54,3061.2,-2185.66,3.5,3061.2,9624412.799999999,5204.04,G,F
Trabajadores en la Cría Avícola,3447,11515.18,113.06,11402.12,0.01,11515.18,39692825.46,19575.81,F1,E1
Trabajadores en la Cría de Caprinos y Ovinos,15695,1387.23,1273.6,113.63,0.92,1387.23,21772574.85,2358.29,G,G
Trabajadores en la Apicultura,1794,1389.0,3347.7,-1958.7,2.41,3347.7,6005773.8,5691.09,G,F
Trabajadores en Actividades de Beneficio de Productos Pecuarios,172,10000.0,0.0,10000.0,0.0,10000.0,1720000.0,17000.0,F1,E1
Trabajadores que Combinan Actividades Agrícolas con Ganaderas,7611,327.69,1390.9,-1063.21,4.24,1390.9,10586139.9,2364.53,G,G
